School,City,State,Conference,Division
Texas Southern University,Houston,Texas,Southwestern Athletic Conference,I
Texas State University,San Marcos,Texas,Sun Belt Conference,I
Texas Tech University,Lubbock,Texas,Big 12 Conference,I
University of Toledo,Toledo,Ohio,Mid-American Conference,I
Towson University,Towson,Maryland,Colonial Athletic Association,I
Troy University,Troy,Alabama,Sun Belt Conference,I
Tulane University,New Orleans,Louisiana,American Athletic Conference,I
University of Tulsa,Tulsa,Oklahoma,American Athletic Conference,I
United States Air Force Academy,Colorado Springs,Colorado,Mountain West Conference,I
United States Military Academy,West Point,New York,Patriot League[s],I
United States Naval Academy,Annapolis,Maryland,Patriot League[t],I
University of Utah,Salt Lake City,Utah,Pac-12 Conference,I
Utah State University,Logan,Utah,Mountain West Conference,I
Utah Valley University,Orem,Utah,Western Athletic Conference,I
Valparaiso University,Valparaiso,Indiana,Missouri Valley Conference[b],I
Vanderbilt University,Nashville,Tennessee,Southeastern Conference,I
University of Vermont,Burlington,Vermont,America East Conference,I
Villanova University,Radnor Township,Pennsylvania,Big East Conference,I
University of Virginia,Charlottesville,Virginia,Atlantic Coast Conference,I
Virginia Commonwealth University,Richmond,Virginia,Atlantic 10 Conference,I
Virginia Military Institute,Lexington,Virginia,Southern Conference,I
Virginia Tech[A 53],Blacksburg,Virginia,Atlantic Coast Conference,I
Wagner College,Staten Island,New York,Northeast Conference,I
Wake Forest University,Winston-Salem,North Carolina,Atlantic Coast Conference,I
University of Washington,Seattle,Washington,Pac-12 Conference,I
Washington State University,Pullman,Washington,Pac-12 Conference,I
Weber State University,Ogden,Utah,Big Sky Conference,I
West Virginia University,Morgantown,West Virginia,Big 12 Conference,I
Western Carolina University,Cullowhee,North Carolina,Southern Conference,I
Western Illinois University,Macomb,Illinois,The Summit League[h],I
Western Kentucky University,Bowling Green,Kentucky,Conference USA,I
Western Michigan University,Kalamazoo,Michigan,Mid-American Conference,I
Wichita State University,Wichita,Kansas,American Athletic Conference,I
College of William & Mary,Williamsburg,Virginia,Colonial Athletic Association,I
Winthrop University,Rock Hill,South Carolina,Big South Conference,I
University of Wisconsin–Green Bay,Green Bay,Wisconsin,Horizon League,I
University of Wisconsin–Madison,Madison,Wisconsin,Big Ten Conference,I
University of Wisconsin–Milwaukee,Milwaukee,Wisconsin,Horizon League,I
Wofford College,Spartanburg,South Carolina,Southern Conference,I
Wright State University,Fairborn,Ohio,Horizon League,I
University of Wyoming,Laramie,Wyoming,Mountain West Conference,I
Xavier University,Cincinnati,Ohio,Big East Conference,I
Yale University,New Haven,Connecticut,Ivy League,I
Youngstown State University,Youngstown,Ohio,Horizon League[h],I
Young Harris College,Young Harris,Georgia,Peach Belt Conference,II
University of Wisconsin–Parkside,Kenosha,Wisconsin,Great Lakes Intercollegiate Athletic Conference,II
Winston–Salem State University,Winston–Salem,North Carolina,Central Intercollegiate Athletic Association,II
Winona State University,Winona,Minnesota,Northern Sun Intercollegiate Conference,II
Wingate University,Wingate,North Carolina,South Atlantic Conference,II
Wilmington University,New Castle,Delaware,Central Atlantic Collegiate Conference,II
William Jewell College,Liberty,Missouri,Great Lakes Valley Conference,II
Wheeling University,Wheeling,West Virginia,Mountain East Conference,II
Westminster College,Salt Lake City,Utah,Rocky Mountain Athletic Conference,II
Western Washington University,Bellingham,Washington,Great Northwest Athletic Conference,II
Western Oregon University,Monmouth,Oregon,Great Northwest Athletic Conference,II
Western New Mexico University,Silver City,New Mexico,Lone Star Conference,II
Western Colorado University,Gunnison,Colorado,Rocky Mountain Athletic Conference,II
West Virginia Wesleyan College,Buckhannon,West Virginia,Mountain East Conference,II
West Virginia State University,Institute,West Virginia,Mountain East Conference,II
West Texas A&M University,Canyon,Texas,Lone Star Conference,II
West Liberty University,West Liberty,West Virginia,Mountain East Conference,II
University of West Georgia,Carrollton,Georgia,Gulf South Conference,II
University of West Florida,Pensacola,Florida,Gulf South Conference,II
West Chester University,West Chester,Pennsylvania,Pennsylvania State Athletic Conference,II
University of West Alabama,Livingston,Alabama,Gulf South Conference,II
Wayne State College,Wayne,Nebraska,Northern Sun Intercollegiate Conference,II
Wayne State University,Detroit,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Washburn University,Topeka,Kansas,Mid-America Intercollegiate Athletics Association,II
Walsh University,North Canton,Ohio,Great Midwest Athletic Conference,II
University of Virginia's College at Wise,Wise,Virginia,South Atlantic Conference,II
Virginia Union University,Richmond,Virginia,Central Intercollegiate Athletic Association,II
Virginia State University,Ettrick,Virginia,Central Intercollegiate Athletic Association,II
Valdosta State University,Valdosta,Georgia,Gulf South Conference,II
Ursuline College,Pepper Pike,Ohio,Great Midwest Athletic Conference,II
Upper Iowa University,Fayette,Iowa,Northern Sun Intercollegiate Conference,II
University of Tampa,Tampa,Florida,Sunshine State Conference,II
Union University,Jackson,Tennessee,Gulf South Conference,II
Tuskegee University,Tuskegee,Alabama,Southern Intercollegiate Athletic Conference,II
Tusculum University,Greeneville,Tennessee,South Atlantic Conference,II
Truman State University,Kirksville,Missouri,Great Lakes Valley Conference,II
Trevecca Nazarene University,Nashville,Tennessee,Great Midwest Athletic Conference,II
Tiffin University,Tiffin,Ohio,Great Midwest Athletic Conference,II
Texas Woman's University,Denton,Texas,Lone Star Conference,II
University of Texas Permian Basin,Odessa,Texas,Lone Star Conference,II
Texas A&M University–Kingsville,Kingsville,Texas,Lone Star Conference,II
Texas A&M International University,Laredo,Texas,Lone Star Conference,II
