School,City,State,Conference,Division
Mount Mercy University,Cedar Rapids,Iowa,Heart of America Athletic Conference,NAIA
Mount Vernon Nazarene University,Mount Vernon,Ohio,Crossroads League,NAIA
Multnomah University,Portland,Oregon,Cascade Collegiate Conference,NAIA
University of North Texas at Dallas,Dallas,Texas,Sooner Athletic Conference,NAIA
Northern New Mexico College,Española,New Mexico,Association of Independent Institutions,NAIA
Northwest University,Kirkland,Washington,Cascade Collegiate Conference,NAIA
Northwestern College,Orange City,Iowa,Great Plains Athletic Conference,NAIA
University of Northwestern Ohio,Lima,Ohio,Wolverine–Hoosier Athletic Conference,NAIA
Oakland City University,Oakland City,Indiana,River States Conference,NAIA
Ohio Christian University,Circleville,Ohio,River States Conference,NAIA
Oklahoma City University,Oklahoma City,Oklahoma,Sooner Athletic Conference,NAIA
Oklahoma Panhandle State University,Goodwell,Oklahoma,Sooner Athletic Conference,NAIA
Oklahoma Wesleyan University,Bartlesville,Oklahoma,Kansas Collegiate Athletic Conference,NAIA
Olivet Nazarene University,Bourbonnais,Illinois,Chicagoland Collegiate Athletic Conference,NAIA
Oregon Institute of Technology,Klamath Falls,Oregon,Cascade Collegiate Conference,NAIA
Ottawa University,Ottawa,Kansas,Kansas Collegiate Athletic Conference,NAIA
Ottawa University Arizona,Surprise,Arizona,Golden State Athletic Conference,NAIA
Our Lady of the Lake University,San Antonio,Texas,Red River Athletic Conference,NAIA
College of the Ozarks,Point Lookout,Missouri,Association of Independent Institutions,NAIA
Pacific Union College,Angwin,California,California Pacific Conference,NAIA
Park University,Parkville,Missouri,Heart of America Athletic Conference,NAIA
Park University Gilbert,Gilbert,Arizona,California Pacific Conference,NAIA
Paul Quinn College,Dallas,Texas,Red River Athletic Conference,NAIA
Penn State Schuylkill,Schuylkill Haven,Pennsylvania,Association of Independent Institutions,NAIA
Peru State College,Peru,Nebraska,Heart of America Athletic Conference,NAIA
Philander Smith College,Little Rock,Arkansas,Gulf Coast Athletic Conference,NAIA
University of Pikeville,Pikeville,Kentucky,Mid-South Conference,NAIA
Point University,West Point,Georgia,Appalachian Athletic Conference,NAIA
Point Park University,Pittsburgh,Pennsylvania,River States Conference,NAIA
Presentation College,Aberdeen,South Dakota,North Star Athletic Association,NAIA
University of Providence[5],Great Falls,Montana,Frontier Conference,NAIA
Providence Christian College*,Pasadena,California,California Pacific Conference,NAIA
Reinhardt University,Waleska,Georgia,Appalachian Athletic Conference,NAIA
University of Rio Grande,Rio Grande,Ohio,River States Conference,NAIA
Rochester University,Rochester,Michigan,Wolverine–Hoosier Athletic Conference,NAIA
Rocky Mountain College,Billings,Montana,Frontier Conference,NAIA
Roosevelt University,Chicago,Illinois,Chicagoland Collegiate Athletic Conference,NAIA
Rust College,Holly Springs,Mississippi,Gulf Coast Athletic Conference[6],NAIA
St. Ambrose University,Davenport,Iowa,Chicagoland Collegiate Athletic Conference,NAIA
St. Andrews University,Laurinburg,North Carolina,Appalachian Athletic Conference,NAIA
University of St. Francis,Joliet,Illinois,Chicagoland Collegiate Athletic Conference,NAIA
University of Saint Francis,Fort Wayne,Indiana,Crossroads League,NAIA
University of Saint Katherine,San Marcos,California,California Pacific Conference,NAIA
St. Louis College of Pharmacy,St. Louis,Missouri,American Midwest Conference,NAIA
University of Saint Mary,Leavenworth,Kansas,Kansas Collegiate Athletic Conference,NAIA
College of Saint Mary,Omaha,Nebraska,Great Plains Athletic Conference,NAIA
St. Thomas University,Miami Gardens,Florida,Sun Conference,NAIA
Saint Xavier University,Chicago,Illinois,Chicagoland Collegiate Athletic Conference,NAIA
San Diego Christian College,El Cajon,California,Golden State Athletic Conference,NAIA
Savannah College of Art and Design,Savannah,Georgia,Sun Conference,NAIA
Savannah College of Art and Design–Atlanta,Atlanta,,Appalachian Athletic Conference,NAIA
University of Science and Arts of Oklahoma,Chickasha,Oklahoma,Sooner Athletic Conference,NAIA
Shawnee State University,Portsmouth,Ohio,Mid-South Conference,NAIA
Siena Heights University,Adrian,Michigan,Wolverine–Hoosier Athletic Conference,NAIA
Sierra Nevada University*,Incline Village,Nevada,California Pacific Conference,NAIA
Simpson University,Redding,California,California Pacific Conference,NAIA
Soka University of America*,Aliso Viejo,California,California Pacific Conference,NAIA
University of South Carolina Beaufort*,Beaufort,South Carolina,Sun Conference,NAIA
Southeastern University,Lakeland,Florida,Sun Conference,NAIA
Southern Oregon University,Ashland,Oregon,Cascade Collegiate Conference,NAIA
University of the Southwest,Hobbs,New Mexico,Red River Athletic Conference,NAIA
Southwestern Assemblies of God University,Waxahachie,Texas,Sooner Athletic Conference,NAIA
Southwestern Christian University,Bethany,Oklahoma,Sooner Athletic Conference,NAIA
Southwestern College,Winfield,Kansas,Kansas Collegiate Athletic Conference,NAIA
Spring Arbor University,Spring Arbor,Michigan,Crossroads League,NAIA
Stephens College,Columbia,Missouri,American Midwest Conference,NAIA
Sterling College,Sterling,Kansas,Kansas Collegiate Athletic Conference,NAIA
Stillman College,Tuscaloosa,Alabama,Southern States Athletic Conference,NAIA
Tabor College,Hillsboro,Kansas,Kansas Collegiate Athletic Conference,NAIA
Talladega College,Talladega,Alabama,Gulf Coast Athletic Conference,NAIA
Taylor University,Upland,Indiana,Crossroads League,NAIA
Tennessee Wesleyan College,Athens,Tennessee,Appalachian Athletic Conference,NAIA
Texas A&M University–San Antonio*,San Antonio,Texas,Red River Athletic Conference,NAIA
Texas A&M University–Texarkana,Texarkana,Texas,Red River Athletic Conference,NAIA
Texas College,Tyler,Texas,Red River Athletic Conference,NAIA
Texas Wesleyan University,Fort Worth,Texas,Sooner Athletic Conference,NAIA
Thomas University,Thomasville,Georgia,Sun Conference,NAIA
Thomas More University,Crestview Hills,Kentucky,Mid-South Conference,NAIA
Tougaloo College,Tougaloo,Mississippi,Gulf Coast Athletic Conference,NAIA
Trinity Christian College,Palos Heights,Illinois,Chicagoland Collegiate Athletic Conference,NAIA
Trinity International University,Deerfield,Illinois,Chicagoland Collegiate Athletic Conference,NAIA
Truett McConnell University,Cleveland,Georgia,Appalachian Athletic Conference,NAIA
Union College,Barbourville,Kentucky,Appalachian Athletic Conference,NAIA
Valley City State University,Valley City,North Dakota,North Star Athletic Association,NAIA
Vanguard University,Costa Mesa,California,Golden State Athletic Conference,NAIA
University of Victoria*,Victoria,British Columbia,Association of Independent Institutions,NAIA
University of the Virgin Islands,Saint Thomas,US Virgin Islands,Association of Independent Institutions,NAIA
Viterbo University,La Crosse,Wisconsin,North Star Athletic Association,NAIA
Voorhees College,Denmark,South Carolina,Association of Independent Institutions,NAIA
Waldorf University,Forest City,Iowa,North Star Athletic Association,NAIA
Walla Walla University,College Place,Washington,Cascade Collegiate Conference,NAIA
Warner University,Lake Wales,Florida,Sun Conference,NAIA
Warner Pacific University,Portland,Oregon,Cascade Collegiate Conference,NAIA
Washington Adventist University,Takoma Park,Maryland,Association of Independent Institutions,NAIA
Wayland Baptist University,Plainview,Texas,Sooner Athletic Conference,NAIA
Webber International University,Babson Park,Florida,Sun Conference,NAIA
West Virginia University Institute of Technology,Beckley,West Virginia,River States Conference,NAIA
Westcliff University,Irvine,California,California Pacific Conference,NAIA
Westmont College,Santa Barbara,California,Golden State Athletic Conference,NAIA
Wilberforce University,Wilberforce,Ohio,Association of Independent Institutions,NAIA
Wiley College,Marshall,Texas,Red River Athletic Conference,NAIA
William Carey University,Hattiesburg,Mississippi,Southern States Athletic Conference,NAIA
William Jessup University,Rocklin,California,Golden State Athletic Conference,NAIA
William Penn University,Oskaloosa,Iowa,Heart of America Athletic Conference,NAIA
William Woods University,Fulton,Missouri,American Midwest Conference,NAIA
Williams Baptist University,Walnut Ridge,Arkansas,American Midwest Conference,NAIA
Xavier University of Louisiana,New Orleans,Louisiana,Gulf Coast Athletic Conference,NAIA
York College,York,Nebraska,Kansas Collegiate Athletic Conference,NAIA
Albany College of Pharmacy and Health Sciences,Albany,New York,Hudson Valley Intercollegiate Athletic Conference,USCAA
American National University,Salem,Virginia,,USCAA
Andrews University,Berrien Springs,Michigan,,USCAA
The Apprentice School,Newport News,Virginia,Eastern Metro Athletic Conference,USCAA
"Berkeley College, New Jersey",Woodland Park,New Jersey,,USCAA
"Berkeley College, New York",New York,New York,Hudson Valley Intercollegiate Athletic Conference,USCAA
Bluefield State College,Bluefield,West Virginia,NCAA Division II,USCAA
"Bryant & Stratton College, Albany",Albany,New York,,USCAA
"Bryant & Stratton College, Buffalo",Buffalo,New York,,USCAA
"Bryant & Stratton College, Greece",Rochester,New York,,USCAA
"Bryant & Stratton College, Syracuse",Syracuse,New York,,USCAA
Campbellsville University Harrodsburg,Harrodsburg,Kentucky,NCCAA,USCAA
Campbellsville University Somerset,Somerset,Kentucky,,USCAA
Carlow University,Pittsburgh,Pennsylvania,River States Conference (NAIA),USCAA
Central Maine Community College,Auburn,Maine,Yankee Small College Conference,USCAA
Central Penn College,Summerdale,Pennsylvania,,USCAA
Christendom College,Front Royal,Virginia,,USCAA
University of Cincinnati Clermont College,Batavia,Ohio,,USCAA
Clinton College,Rock Hill,South Carolina,Eastern Metro Athletic Conference,USCAA
Crown College,Powell,Tennessee,,USCAA
Culinary Institute of America,Hyde Park,New York,Hudson Valley Intercollegiate Athletic Conference,USCAA
University of Dallas,Irving,Texas,Southern Collegiate Athletic Conference (NCAA Division III),USCAA
Dean College,Franklin,Massachusetts,Great Northeast Athletic Conference (NCAA Division III),USCAA
Diné College,Tsaile,Arizona,,USCAA
East–West University,Chicago,Illinois,,USCAA
Five Towns College,Dix Hills,New York,,USCAA
Florida National University,Hialeah,Florida,NAIA,USCAA
Great Bay Community College,Portsmouth,New Hampshire,Yankee Small College Conference,USCAA
Hampshire College,Amherst,Massachusetts,Yankee Small College Conference,USCAA
Johnson & Wales University Charlotte,Charlotte,North Carolina,Eastern Metro Athletic Conference,USCAA
Judson College,Marion,Alabama,,USCAA
Kent State University Tuscarawas,New Philadelphia,Ohio,,USCAA
The King's College,New York,New York,Hudson Valley Intercollegiate Athletic Conference,USCAA
University of Maine at Augusta,Augusta,Maine,Yankee Small College Conference,USCAA
University of Maine at Fort Kent,Fort Kent,Maine,,USCAA
University of Maine at Machias,Machias,Maine,Yankee Small College Conference,USCAA
Mid-Atlantic Christian University,Elizabeth City,North Carolina,Eastern Metro Athletic Conference,USCAA
Mississippi University for Women,Columbus,Mississippi,Independent (NCAA Division III),USCAA
Navajo Technical University,Crownpoint,New Mexico,,USCAA
"NHTI, Concord's Community College",Concord,New Hampshire,Yankee Small College Conference,USCAA
Oakwood University,Huntsville,Alabama,,USCAA
Paul Quinn College,Dallas,Texas,Red River Athletic Conference (NAIA),USCAA
Paul Smith's College,Paul Smiths,New York,Yankee Small College Conference,USCAA
Penn State Beaver,Monaca,Pennsylvania,Penn State University Athletic Conference,USCAA
Penn State Brandywine,Media,Pennsylvania,Penn State University Athletic Conference,USCAA
Penn State DuBois,DuBois,Pennsylvania,Penn State University Athletic Conference,USCAA
"Penn State Fayette, The Eberly Campus",Uniontown,Pennsylvania,Penn State University Athletic Conference,USCAA
Penn State Greater Allegheny,McKeesport,Pennsylvania,Penn State University Athletic Conference,USCAA
Penn State Hazleton,Hazleton,Pennsylvania,Penn State University Athletic Conference,USCAA
Penn State Lehigh Valley,Center Valley,Pennsylvania,Penn State University Athletic Conference,USCAA
Penn State Mont Alto,Mont Alto,Pennsylvania,Penn State University Athletic Conference,USCAA
Penn State New Kensington,New Kensington,Pennsylvania,Penn State University Athletic Conference,USCAA
Penn State Schuylkill,Schuylkill Haven,Pennsylvania,Penn State University Athletic Conference and NAIA,USCAA
Penn State Shenango,Sharon,Pennsylvania,Penn State University Athletic Conference,USCAA
Penn State Wilkes-Barre,Back Mountain,Pennsylvania,Penn State University Athletic Conference,USCAA
Penn State Worthington Scranton,Dunmore,Pennsylvania,Penn State University Athletic Conference,USCAA
Penn State York,York,Pennsylvania,Penn State University Athletic Conference,USCAA
Pratt Institute,Brooklyn,New York,Capital Athletic Conference (NCAA Division III),USCAA
Roosevelt University Peoria,Peoria,Illinois,,USCAA
Saint Mary-of-the-Woods College,Saint Mary-of-the-Woods,Indiana,River States Conference (NAIA) in 2021,USCAA
University of St. Thomas,Houston,Texas,Southern Collegiate Athletic Conference (NCAA Division III),USCAA
Southern Maine Community College,South Portland,Maine,Yankee Small College Conference,USCAA
Southern State Community College,Hillsboro,Ohio,,USCAA
Southwestern Adventist University,Keene,Texas,NCCAA,USCAA
SUNY ESF,Syracuse,New York,Hudson Valley Intercollegiate Athletic Conference,USCAA
SUNY Delhi,Delhi,New York,North Atlantic Conference (NCAA Division III),USCAA
Unity College,Unity,Maine,Yankee Small College Conference,USCAA
University of Valley Forge,Phoenixville,Pennsylvania,Capital Athletic Conference (NCAA Division III),USCAA
Vaughn College,Flushing,New York,Hudson Valley Intercollegiate Athletic Conference,USCAA
Vermont Technical College,Randolph Center,Vermont,Yankee Small College Conference,USCAA
Villa Maria College,Buffalo,New York,,USCAA
Warren Wilson College,Asheville,North Carolina,Eastern Metro Athletic Conference,USCAA
Washington Adventist University,,Maryland,Independent (NAIA),USCAA
Webb Institute,,New York,Hudson Valley Intercollegiate Athletic Conference,USCAA
Williamson College of the Trades,,Pennsylvania,,USCAA
Word of Life Bible Institute,,New York,,USCAA
Wright State University-Lake Campus,,Ohio,,USCAA
